Date,Open,Close,High,Low,Volume
2011-03-16,0.7872786141682672,0.734045147895813,0.8116959171745111,0.7175137057920995,35268000
2011-08-04,0.52050446031629,0.4498295783996582,0.5217174524766658,0.4454316682392221,70020000
2011-08-05,0.4633281871731917,0.417070597410202,0.4783427365987963,0.380975614950233,60150000
2011-08-08,0.3714208778016903,0.3518564701080322,0.4009949931764794,0.3471546338014484,42156000
2011-08-09,0.3723308148466586,0.3991750180721283,0.4003880101860002,0.3366899238198869,49818000
2011-08-10,0.3862835146230472,0.3752118945121765,0.4132797007307036,0.3576193826106178,35904000
2011-08-11,0.3911364079470947,0.4310241639614105,0.4469487029071547,0.3885584465399111,29616000
2011-08-12,0.4417917909834946,0.4267772436141968,0.4548344125391639,0.4176774973909086,27114000
2011-08-15,0.4345120734099723,0.4519535303115845,0.4528635186598606,0.4301141896232568,22326000
2011-08-16,0.4361799948917824,0.4264742136001587,0.4493745930494538,0.4094877403747087,25092000
2011-08-17,0.4225303707959869,0.4172224998474121,0.4458866518232163,0.4058478514312284,17232000
2011-08-18,0.3824915960926473,0.3450316488742828,0.3824915960926473,0.3366899411631969,38010000
2011-08-19,0.3369929043336171,0.3248602449893951,0.3673259493380982,0.3230402959170577,28344000
2011-08-22,0.3521594963839187,0.3339600563049316,0.352917508074856,0.3272872157406015,21594000
2011-08-23,0.3457896526032252,0.3850704431533813,0.3861314858518045,0.3366899334671305,51924000
2011-08-24,0.3850704488500839,0.3844635188579559,0.3952312108349193,0.3615622169901098,51954000
2011-08-25,0.37839673810688,0.3539794385433197,0.3923502710486407,0.3518564851616564,33522000
2011-08-26,0.3551924209725647,0.3820366263389587,0.3884064354835858,0.3382068689180059,38676000
2014-10-15,1.0683081879483454,1.143683910369873,1.1677981796366976,1.041615957525208,41124000
2015-08-24,0.929418232869327,1.0731990337371826,1.2194068814269912,0.9136450863126752,29239500
2015-08-25,1.1890731863476425,1.0380123853683472,1.2048463271046426,1.0380123853683472,14115000
2015-08-26,1.1393262245620104,1.1921064853668213,1.196353518411466,1.0719858544037868,21187500
2015-09-01,1.2254736918393876,1.1975665092468262,1.2970601160678392,1.1751193945803176,13606500
2015-09-02,1.2570202658073142,1.281894326210022,1.281894326210022,1.2151600211783429,5200500
2016-01-15,1.0489327416961671,1.0319455862045288,1.0750188534114495,0.9834123594657724,12220500
2016-01-20,0.9949385015977116,1.0556057691574097,1.087759009820872,0.9682453291171584,11091000
2018-02-08,9.0658039209359,7.780139923095703,9.091886087782658,7.762328954548731,17155500
2018-02-09,8.356496162171918,8.488816261291504,8.622408572804018,7.462702799505149,20676000
2018-12-20,5.024808890633992,4.921257495880127,5.279852868803991,4.732690832140664,19387500
2018-12-21,5.016499361114492,4.695617198944092,5.191642746448332,4.638727751071514,19287000
2018-12-24,4.572251885378416,4.287804126739502,4.720547338764063,4.282690837254843,13795500
2018-12-26,4.461029474981679,5.024810314178467,5.028645738373112,4.243059058186605,17737500
2018-12-27,4.769679319630358,5.137268543243408,5.139833966491619,4.622129627838036,12370500
2018-12-28,5.248891462785254,5.245683193206787,5.5298756769195245,5.11353111872807,17269500
2020-02-27,13.011003528750404,12.335283279418944,13.88421268859017,12.254610199669862,38827500
2020-02-28,11.100659804647488,13.23043727874756,13.423407904503833,11.081297746415771,45580500
2020-03-02,14.03716977281726,14.540572166442873,14.54121750678169,12.605056158806896,36516000
2020-03-03,14.724507644341164,13.06844425201416,15.317618830096842,12.699282790492076,32919000
2020-03-05,13.73771135228275,13.637675285339355,14.798082213784555,13.295620883487462,23968500
2020-03-06,12.585050640867092,12.818036079406738,13.132984369382331,11.81058580139774,26310000
2020-03-09,9.811820862274228,9.570446014404297,11.416254326280534,9.551730219816452,31191000
2020-03-10,10.772801584492411,11.39753532409668,11.39753532409668,9.616267726733168,33006000
2020-03-11,10.377181066988529,9.463958740234377,10.777321707173869,9.119321997373756,33735000
2020-03-12,7.525860058031251,6.585531234741211,8.630762224234855,6.584239630703591,47734500
2020-03-13,7.81628319819638,8.384868621826172,8.454569990032702,6.324792831066199,43620000
2020-03-16,5.79428562991842,5.148899078369141,6.870791413459742,5.098558835024923,47341500
2020-03-17,5.1501900404565735,5.660690784454346,5.800740273892097,4.240839831875604,73488000
2020-03-18,4.453816262406014,4.19501543045044,5.09597598226496,3.4528210461206514,67953000
2020-03-19,4.080782738873355,4.513192653656006,4.904297090360417,3.727110814656254,67534500
2020-03-20,5.05402679262537,4.1272501945495605,5.259259795177134,4.1175696277057,63204000
2020-03-23,4.388631381943137,4.511255264282227,4.7810273438114415,3.956867817553968,63927000
2020-03-24,5.3983114256361455,6.056704521179199,6.072857672987988,5.37634271400812,67669500
2022-04-29,23.585774846708507,21.586322784423828,25.187279608352807,21.450438249995997,48104400
2022-04-29,23.585774846708507,21.586322784423828,25.187279608352807,21.450438249995997,48104400
2022-05-02,21.722214738249612,23.779905319213867,23.828434997717245,21.168968257641424,57669900
2022-05-02,21.722214738249612,23.779905319213867,23.828434997717245,21.168968257641424,57669900
2022-05-05,25.750228474970843,23.284883499145508,25.837583334825293,22.08132991494688,64302700
2022-05-05,25.750228474970843,23.284883499145508,25.837583334825293,22.08132991494688,64302700
2022-05-06,22.556930719164868,22.663698196411133,24.139022867519092,21.295141002549432,73607500
2022-05-06,22.556930719164868,22.663698196411133,24.139022867519092,21.295141002549432,73607500
2022-05-09,21.17866981555273,19.1403923034668,21.935744848981265,18.75214940861428,72482100
2022-05-09,21.17866981555273,19.1403923034668,21.935744848981265,18.75214940861428,72482100
2022-05-10,20.8195447105533,20.470125198364254,21.498969277124367,19.14039127242445,72934500
2022-05-10,20.8195447105533,20.470125198364254,21.498969277124367,19.14039127242445,72934500
2022-05-11,19.926580984517685,18.587141036987305,21.353373940437933,18.41243131763224,76546000
2022-05-11,19.926580984517685,18.587141036987305,21.353373940437933,18.41243131763224,76546000
2022-05-12,17.965957267994817,18.83950424194336,19.4024569008247,17.432121669095938,79889100
2022-05-12,17.965957267994817,18.83950424194336,19.4024569008247,17.432121669095938,79889100
2022-05-13,19.9654028408864,21.828969955444336,22.23662531960662,19.586866378195538,65885900
2022-05-13,19.9654028408864,21.828969955444336,22.23662531960662,19.586866378195538,65885900
2022-05-16,21.21749536817827,20.74189758300781,21.84839031375997,20.576894118659844,49300800
2022-05-16,21.21749536817827,20.74189758300781,21.84839031375997,20.576894118659844,49300800
2022-05-18,22.71223294284344,20.2371826171875,23.634311531540227,19.92658826979567,61497800
2022-05-18,22.71223294284344,20.2371826171875,23.634311531540227,19.92658826979567,61497800
2022-05-19,19.94599843070405,19.907175064086918,21.39220632578017,19.315103450047225,62522000
2022-05-19,19.94599843070405,19.907175064086918,21.39220632578017,19.315103450047225,62522000
2022-05-20,20.90690128792495,19.76158332824707,21.013666929881083,17.140940476398093,86718200
2022-05-20,20.90690128792495,19.76158332824707,21.013666929881083,17.140940476398093,86718200
2022-09-29,9.457856073235387,9.058091163635254,9.49685750515083,8.580323390204239,128122600
2022-09-29,9.457856073235387,9.058091163635254,9.49685750515083,8.580323390204239,128122600
2025-04-03,13.762485969296437,11.370742797851562,14.071418856399118,11.360776975585509,302517400
2025-04-04,10.015421596168231,8.699962615966797,10.394114260893412,8.151855737142006,499158100
2025-04-07,7.85288796715422,9.118517875671388,10.942221450805665,7.205124280170803,723467300
2025-04-08,10.37418293398558,8.221614837646484,10.802703769043244,7.57385114933806,488735500
2025-04-09,8.450823712561299,12.726064682006836,13.064894097989674,8.211649671728768,787748800
2025-04-10,10.88242920629534,9.596867561340332,11.10167255012136,8.321271738921313,686331800
2025-04-11,9.317830841840046,10.194802284240724,10.354252587797594,8.879344170246593,412972900
2025-04-14,11.111636869103616,10.433977127075195,11.121602691143488,9.935697429798925,358849500
2025-04-15,10.56352996826172,10.56352996826172,10.98208499023693,10.374183150971785,230001400
2025-04-16,9.098586694195626,9.30786418914795,9.716453357770812,8.301339049120442,362439300
2025-04-21,8.640169441362831,8.680031776428223,8.709928290129008,8.121958135119696,255318100
2025-04-22,8.929172232114828,9.148415565490724,9.367657948473516,8.819551040623432,249211900
2026-03-23,54.630001068115234,53.02999877929688,56.810001373291016,52.27999877929688,115257400
2026-03-27,48.040000915527344,46.61000061035156,49.380001068115234,45.959999084472656,99401400
2026-03-30,47.86000061035156,40.619998931884766,48.290000915527344,39.52000045776367,139746200
